date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2008-07-10,25,16,0.0,8.0,4,47,01:52 PM,12:33 AM,06:22 AM,08:05 PM,18,19,20,19,14,68,91,25.3,1014,25,8,169,7,San Francisco Bay Area,1
2008-07-10,25,16,0.0,8.0,4,47,01:52 PM,12:33 AM,06:22 AM,08:05 PM,18,19,20,19,14,68,91,25.3,1014,25,8,169,7,San Francisco Bay Area,1
2014-06-30,30,22,0.0,10.0,6,16,08:49 AM,10:31 PM,05:34 AM,08:41 PM,24,29,29,26,33,63,92,28.8,1006,30,7,198,16,Illinois,1
2014-07-01,26,18,0.0,15.0,6,23,09:46 AM,11:01 PM,05:34 AM,08:41 PM,17,21,22,21,31,19,82,0.0,1007,26,10,265,17,Illinois,1
2014-07-02,18,14,0.0,5.0,4,30,10:42 AM,11:30 PM,05:35 AM,08:41 PM,14,16,16,16,23,81,90,1.1,1015,18,7,297,13,Illinois,1
2014-06-09,27,16,0.0,9.0,5,81,03:27 PM,02:33 AM,05:38 AM,06:38 PM,18,21,21,21,8,65,83,13.7,1012,27,8,197,3,Alberta,1
2014-06-03,23,16,0.0,8.0,4,35,10:30 AM,11:13 PM,05:37 AM,06:37 PM,18,20,20,20,8,73,87,22.8,1009,23,8,127,3,Alberta,1
2014-06-03,28,24,0.0,14.0,6,35,11:29 AM,No moonset,06:20 AM,08:16 PM,23,29,29,26,23,31,84,0.0,1014,28,10,122,14,Texas,1
2014-05-23,29,17,0.0,14.0,6,31,02:49 AM,03:23 PM,06:06 AM,08:23 PM,15,24,24,23,22,10,66,0.0,1015,29,9,312,12,North Carolina,1
2014-05-24,25,13,0.0,14.0,5,24,03:26 AM,04:26 PM,06:05 AM,08:24 PM,10,19,20,19,17,3,61,0.0,1019,25,10,273,8,North Carolina,1
2014-05-25,27,13,0.0,14.0,6,17,04:02 AM,05:29 PM,06:05 AM,08:24 PM,13,20,21,20,14,26,69,0.0,1021,27,9,197,6,North Carolina,1
2014-04-24,31,14,0.0,11.0,5,21,02:12 AM,02:24 PM,05:49 AM,06:25 PM,14,23,23,22,9,25,64,4.4,1012,31,9,215,3,Alberta,1
2014-04-12,22,10,0.0,12.0,4,89,05:01 PM,04:41 AM,06:12 AM,07:25 PM,11,15,16,15,40,47,72,0.2,1012,22,10,193,22,Michigan,1
