Date Event Began,Date of Restoration,Respondent,Geographic Areas,Tags,Time Event Began,Time of Restoration,Category,Sub Category
6/30/2014,7/2/2014,Exelon Corporation/ComEd,Illinois,"severe weather, thunderstorm",20:00:00,18:30:00,Severe Weather,Thunderstorms
4/12/2014,4/15/2014,Detroit Edison Company,Michigan,severe weather,20:00:00,19:30:00,Severe Weather,
3/12/2014,3/13/2014,Duke Energy Carolinas,North Carolina,"severe weather, wind",19:35:00,12:00:00,Severe Weather,High Winds
2/12/2014,2/15/2014,Duke Energy Progress,North Carolina,"severe weather, winter storm",12:10:00,15:20:00,Severe Weather,Snow/Ice
2/5/2014,2/9/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,"severe weather, winter storm",01:00:00,20:40:00,Severe Weather,Snow/Ice
2/5/2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,"severe weather, winter storm",05:00:00,05:01:00,Severe Weather,Snow/Ice
1/7/2014,1/8/2014,Duke Energy Progress,North Carolina,"severe weather, cold",16:15:00,13:20:00,Public Appeal due to Severe Weather,Cold
1/7/2014,1/7/2014,Duke Energy Progress,North Carolina,"severe weather, cold, public appeal",07:58:00,11:00:00,Voltage Reduction; Public Appeal due to Severe Weather,Cold
1/7/2014,1/7/2014,PJM Interconnection,Pennsylvania,"severe weather, cold",06:18:00,06:19:00,Severe Weather,Cold
1/6/2014,1/6/2014,"UGI Utilities, Inc",Pennsylvania,"severe weather, cold",19:50:00,20:49:00,Voltage Reduction due to Severe Weather,Cold
1/6/2014,1/6/2014,PPL Electric Utilities Corp,Pennsylvania,"severe weather, cold",19:50:00,20:44:00,Voltage Reduction due to Severe Weather,Cold
1/6/2014,1/7/2014,ERCOT,Texas,"severe weather, cold",07:01:00,09:00:00,Public Appeal due to Severe Weather,Cold
12/22/2013,12/25/2013,Detroit Edison Co,Michigan,"severe weather, winter storm",06:30:00,05:12:00,Severe Weather,Ice/Snow
11/21/2013,11/22/2013,Pacific Gas & Electric Co,Northern California,"severe weather, wind",19:45:00,03:20:00,Severe Weather,Wind Storm
11/17/2013,11/20/2013,Detroit Edison Co,Michigan,"severe weather, winter storm",07:00:00,18:54:00,Severe Weather,Ice and Snow Storm
9/11/2013,9/15/2013,Detroit Edison Co,Southeastern Michigan,"severe weather, thunderstorm",16:00:00,16:00:00,Severe Weather,Thunderstorms
7/19/2013,7/21/2013,Niagara Mohawk Power Corporation (dba National Grid),New York,"severe weather, thunderstorm",22:30:00,20:00:00,Severe Weather,Thunderstorms
7/19/2013,7/20/2013,Detroit Edison Co,Michigan,"severe weather, thunderstorm",18:00:00,09:00:00,Severe Weather,Thunderstorms
6/24/2013,6/25/2013,Exelon Corporation/ComEd,Illinois,"severe weather, thunderstorm",19:30:00,17:46:00,Severe Weather,Thunderstorms
1/20/2013,1/23/2013,Detroit Edison Co,Southeastern Michigan,"severe weather, wind",03:30:00,06:15:00,Severe Weather,Wind Storm
