id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
70326,King Salmon Airport,US,AK,70326,PAKN,58.6833,-156.65,17.0,America/Juneau,1942-01-10,2023-12-13,1942-01-12,2023-12-10,1942-01-01,2022-01-01
72644,Rochester International Airport,US,MN,72644,KRST,43.9,-92.5,401.0,America/Chicago,1973-01-01,2023-12-13,1893-01-18,2023-12-05,1893-01-01,2022-01-01
72545,Cedar Rapids / Konigsmark,US,IA,72545,KCID,41.8851,-91.7123,265.0,America/Chicago,1973-01-01,2023-12-13,1953-06-01,2023-12-05,1953-01-01,2022-01-01
J893H,Ravalli County Airport,US,MT,,KHRF,46.2546,-114.1246,1110.0,America/Denver,2022-04-23,2023-12-13,2022-04-23,2022-04-25,,
72616,Berlin Municipal Airport,US,NH,72616,KBML,44.5833,-71.0167,353.0,America/New_York,2006-01-01,2023-12-13,1996-07-01,2023-12-04,1996-01-01,2022-01-01
72476,Grand Junction Walker Field,US,CO,72476,KGJT,39.1333,-108.5333,1481.0,America/Denver,1973-01-01,2023-12-13,1900-01-01,2023-12-05,1900-01-01,2022-01-01
KIAG0,Niagara Falls / Walmore,US,NY,,KIAG,43.1073,-78.9462,180.0,America/New_York,1951-06-12,2023-12-13,1951-06-13,2022-04-24,1951-01-01,2022-01-01
KUOX0,Oxford / Molly Barr Cove,US,MS,,KUOX,34.3843,-89.5368,138.0,America/Chicago,2008-05-30,2023-12-13,2008-05-31,2022-04-24,2015-01-01,2022-01-01
78535,Roosevelt Roads Puerto Rico,US,,78535,TJNR,18.25,-65.1333,12.0,America/Puerto_Rico,1973-01-01,2023-12-13,1973-03-04,2022-04-25,1981-01-01,2021-01-01
KAVQ0,Tucson / Marana,US,AZ,,KAVQ,32.4096,-111.2184,619.0,America/Phoenix,2020-01-14,2023-12-13,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KORK0,North Little Rock / Tanglewood,US,AR,,KORK,34.8331,-92.2541,166.0,America/Chicago,2020-09-15,2023-12-13,2020-09-15,2022-04-24,2020-01-01,2022-01-01
KNTU0,Virginia Beach / Gatewood Park,US,VA,,KNTU,36.8227,-76.0319,7.0,America/New_York,1973-01-01,2023-12-13,1973-01-01,2022-04-24,1974-01-01,2021-01-01
KOXB0,Ocean City / Morris Mobile Home Park,US,MD,,KOXB,38.3104,-75.124,3.0,America/New_York,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
72512,Philipsburg / Beaver Mills,US,PA,72512,KPSB,40.8844,-78.0873,594.0,America/New_York,1985-05-31,1986-08-27,1985-06-08,2023-12-05,2002-01-01,2022-01-01
72402,Wallops Flight Fac Airport,US,VA,72402,KWAL,37.9333,-75.4667,12.0,America/New_York,1973-01-01,2023-12-13,1966-10-01,2023-12-05,1966-01-01,2022-01-01
