date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2008-07-25,27,12,0.0,15.0,5,44,11:46 PM,02:17 PM,05:41 AM,08:51 PM,11,19,19,19,15,10,62,0.0,1017,27,10,253,6,Tacoma
2014-12-03,2,-2,0.0,10.0,2,76,02:39 PM,03:42 AM,06:57 AM,04:17 PM,-4,-5,-1,-5,28,34,76,0.0,1024,2,10,262,17,Michigan
2010-07-10,37,20,0.0,15.0,7,0,04:24 AM,07:25 PM,05:46 AM,08:08 PM,7,27,27,28,19,7,26,0.0,1011,37,10,275,10,California
2011-06-24,17,9,0.0,16.0,4,32,12:57 AM,02:51 PM,05:14 AM,09:10 PM,9,13,13,13,15,51,81,0.2,1018,17,7,207,6,Tacoma
2009-06-16,24,19,0.0,6.0,5,30,01:02 AM,02:00 PM,05:30 AM,08:39 PM,19,21,21,21,21,71,94,7.1,1010,24,9,78,10,Illinois
2013-02-02,-5,-13,0.0,3.0,1,44,No moonrise,10:30 AM,07:24 AM,05:35 PM,-11,-16,-9,-16,25,93,87,2.3,1022,-5,6,236,16,Northern%20and%20Central%20California
2009-03-20,6,2,0.0,11.0,1,32,03:54 AM,01:19 PM,07:05 AM,07:15 PM,1,1,4,1,23,49,85,2.2,1026,6,9,211,13,Southeastern%20Michigan
2014-05-14,27,25,0.0,12.0,6,100,06:54 PM,05:39 AM,05:51 AM,06:49 PM,22,28,28,26,30,50,81,0.1,1015,27,10,90,19,Island%20of%20Puerto%20Rico
2009-08-18,30,25,0.0,11.0,6,7,04:03 AM,06:42 PM,06:23 AM,07:51 PM,22,30,30,27,27,27,72,0.9,1019,30,10,215,17,Virginia
2014-05-10,27,22,0.0,12.0,5,74,04:16 PM,03:44 AM,06:30 AM,08:02 PM,21,26,26,24,31,31,85,0.5,1012,27,10,140,18,Texas
2014-08-18,28,17,0.0,11.0,5,43,12:23 AM,03:03 PM,06:16 AM,07:58 PM,20,24,24,23,17,58,84,0.2,1010,28,5,189,8,Illinois
2010-12-08,2,-3,0.0,9.0,2,11,09:30 AM,07:46 PM,07:04 AM,04:47 PM,-8,-5,0,-5,29,7,56,0.0,1019,2,10,307,18,Virginia
