,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
0,Severe Weather - Thunderstorms,2014,6/30/2014,7/2/2014,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"420,000","severe weather, thunderstorm",20:00:00,18:30:00
1,Severe Weather - Thunderstorms,2014,6/30/2014,7/1/2014,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,"127,000","severe weather, thunderstorm",23:20:00,17:00:00
2,Severe Weather - Thunderstorms,2014,6/30/2014,7/1/2014,We Energies,Southeast  Wisconsin,MRO,424,"120,000","severe weather, thunderstorm",17:55:00,02:53:00
3,Fuel Supply Emergency - Coal,2014,6/27/2014,Unknown,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",13:21:00,
4,Physical Attack - Vandalism,2014,6/24/2014,6/24/2014,Tennessee Valley Authority,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical",14:54:00,14:55:00
5,Physical Attack - Vandalism,2014,6/19/2014,6/19/2014,Tennessee Valley Authority,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical",08:47:00,08:48:00
6,Physical Attack - Vandalism,2014,6/18/2014,6/18/2014,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,Unknown,Unknown,"vandalism, physical",09:52:00,19:00:00
7,Severe Weather - Thunderstorms,2014,6/18/2014,6/20/2014,Detroit Edison Co,Southeast Michigan,RFC,Unknown,"138,802","severe weather, thunderstorm",17:00:00,15:00:00
8,Severe Weather - Thunderstorms,2014,6/15/2014,6/15/2014,Xcel Energy,Central Minnesota,MRO,Unknown,"55,951","severe weather, thunderstorm",00:00:00,01:00:00
9,Suspected Physical Attack,2014,6/12/2014,6/12/2014,"Luminant Energy Company, LLC","Somervell County, Texas",ERCOT,Unknown,Unknown,"vandalism, physical",09:10:00,09:11:00
10,Physical Attack - Vandalism,2014,6/11/2014,6/11/2014,South Mississippi El Pwr Assn,Southern Mississippi,SERC,,,"vandalism, physical",16:00:00,16:30:00
11,Suspected Physical Attack,2014,6/11/2014,6/11/2014,Tucson Electric Power,"Nogales, Arizona",WECC,,,"vandalism, physical",09:30:00,09:31:00
12,Severe Weather - Thunderstorms,2014,6/10/2014,6/11/2014,American Electric Power,West Virginia,RFC,Unknown,"66,383","severe weather, thunderstorm",21:50:00,14:30:00
13,Electrical System Islanding,2014,6/9/2014,6/9/2014,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding,11:07:00,11:30:00
14,Severe Weather - Thunderstorms,2014,6/7/2014,6/8/2014,Southern Company,"North and Central , Alabama",SERC,217,"65,000","severe weather, thunderstorm",23:00:00,05:30:00
15,Fuel Supply Emergency - Coal,2014,6/6/2014,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,"fuel supply emergency, coal",13:00:00,
16,Severe Weather - Thunderstorms,2014,6/5/2014,6/7/2014,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,494,"38,500","severe weather, thunderstorm",03:00:00,23:45:00
17,Severe Weather - Thunderstorms,2014,6/5/2014,6/5/2014,Tennessee Valley Authority,West Tennessee,SERC,Unknown,"56,475","severe weather, thunderstorm",13:06:00,13:07:00
18,Electrical System Islanding,2014,6/3/2014,6/3/2014,Peak Reliability,"Alberta, Canada",WECC,338,,islanding,15:32:00,15:59:00
19,Physical Attack - Vandalism,2014,6/3/2014,6/3/2014,Lower Colorado River Authority,Texas,ERCOT,Unknown,Unknown,"vandalism, physical",01:38:00,01:43:00
20,Physical Attack - Vandalism,2014,5/27/2014,5/27/2014,Arizona Public Service Co,"Phoenix, Arizona",WECC,,,"vandalism, physical",11:00:00,16:53:00
21,Electrical System Separation (Islanding),2014,5/26/2014,5/26/2014,Peak Reliability,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,islanding,12:31:00,13:18:00
22,Physical Attack - Vandalism,2014,5/23/2014,5/25/2014,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"vandalism, physical",15:00:00,19:00:00
23,Physical Attack - Vandalism,2014,5/20/2014,5/20/2014,PacifiCorp,"Duchesne County, Utah",WECC,,,"vandalism, physical",07:01:00,07:02:00
24,Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/2014,5/16/2014,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal",10:43:00,21:00:00
25,Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/2014,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","wild fire, public appeal",10:43:00,
26,Suspected Physical Attack,2014,5/15/2014,5/15/2014,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,,,"vandalism, physical",12:10:00,12:13:00
27,Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/2014,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,,426,"wild fire, public appeal",15:34:00,
28,Physical Attack - Vandalism,2014,5/12/2014,5/12/2014,PacifiCorp,"Layton, Utah",WECC,Unknown,Unknown,"vandalism, physical",13:14:00,13:15:00
29,Physical Attack - Vandalism,2014,5/11/2014,5/11/2014,Great River Energy,"MISO North, Minnesota",MRO,Unknown,Unknown,"vandalism, physical",18:38:00,18:39:00
30,Severe Weather - Heavy Winds,2014,5/9/2014,5/11/2014,Vectren Energy Delivery of Indiana,Indiana,RFC,Unknown,"56,000","severe weather, wind",18:00:00,13:00:00
31,Physical Attack,2014,5/8/2014,5/8/2014,"CSolar IV South, LLC","Imperial Valley, California",WECC,Unknown,Unknown,"vandalism, physical",08:39:00,08:40:00
32,Physical Attack,2014,5/8/2014,5/8/2014,Clarksdale Public Utilities,Mississippi,SERC,Unknown,Unknown,"vandalism, physical",01:00:00,01:01:00
33,Severe Weather - Thunderstorms,2014,4/30/2014,4/30/2014,Southern Company,"Alabama, Florida, Georgia",SERC,296,"89,000","severe weather, thunderstorm",03:50:00,14:00:00
34,Severe Weather - Thunderstorms,2014,4/29/2014,4/29/2014,Southern Company,"Mississippi, Alabama",SERC,355,"106,648","severe weather, thunderstorm",23:30:00,12:30:00
35,Severe Weather - Thunderstorms,2014,4/29/2014,5/1/2014,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,"57,000","severe weather, thunderstorm",09:37:00,09:00:00
36,Electrical System Separation (Islanding),2014,4/27/2014,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000",islanding,09:15:00,
37,Physical Attack - Vandalism,2014,4/27/2014,4/27/2014,PacifiCorp,"Albany, Oregon",WECC,Unknown,Unknown,"vandalism, physical",12:07:00,12:09:00
38,Physical Attack - Vandalism,2014,4/25/2014,4/25/2014,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",07:00:00,07:30:00
39,Electrical System Separation (Islanding),2014,4/24/2014,4/24/2014,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding,15:02:00,17:13:00
40,Load shedding of 100 Megawatts,2014,4/23/2014,4/23/2014,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,"28,000",load shedding,19:45:00,20:37:00
41,Severe Weather,2014,4/12/2014,4/15/2014,Detroit Edison Company,Michigan,RFC,Unknown,"164,000",severe weather,20:00:00,19:30:00
42,Severe Weather - Thunderstorms,2014,4/12/2014,4/14/2014,Consumers Energy,Western and Central Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",18:15:00,09:00:00
43,Physical Attack - Vandalism,2014,4/8/2014,4/8/2014,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,Unknown,Unknown,"vandalism, physical",13:00:00,13:01:00
44,Voltage Reduction,2014,4/8/2014,4/8/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction,11:09:00,11:20:00
45,Severe Weather - Wind,2014,4/4/2014,4/4/2014,"Entergy Services, Inc.",Central Arkansas,SERC,Unknown,"57,200","severe weather, wind",03:30:00,08:15:00
46,Fuel Supply Emergency - Coal,2014,4/3/2014,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",00:00:00,
47,Fuel Supply Emergency - Coal,2014,4/3/2014,4/9/2014,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",14:45:00,11:53:00
48,System Wide Voltage Reduction,2014,3/31/2014,3/31/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction,15:41:00,20:08:00
49,Electrical System Separation (Islanding),2014,3/26/2014,3/26/2014,Peak Reliability,Montana,WECC,Unknown,Unknown,islanding,13:37:00,14:33:00
50,Physical Attack,2014,3/26/2014,4/10/2014,ITC Midwest LLC,Iowa,MRO,,,"vandalism, physical",16:00:00,12:00:00
51,Physical Attack - Vandalism,2014,3/24/2014,3/24/2014,PacifiCorp,"Salt Lake City, Utah",WECC,,,"vandalism, physical",11:07:00,11:08:00
